"year","source","item","value","Reference"
1968,"Current study","Input_MtPperYr",12.6564616902,"FAO (2022) Cropland Nutrient Budget (current study)"
1968,"Current study","Output_MtPperYr",7.2098832792,"FAO (2022) Cropland Nutrient Budget (current study)"
1968,"Current study","Surplus_MtPperYr",5.446578411,"FAO (2022) Cropland Nutrient Budget (current study)"
1968,"Current study","PUE_pc",56.966,"FAO (2022) Cropland Nutrient Budget (current study)"
1977,"Current study","Input_MtPperYr",17.7251234198,"FAO (2022) Cropland Nutrient Budget (current study)"
1977,"Current study","Output_MtPperYr",8.873311929,"FAO (2022) Cropland Nutrient Budget (current study)"
1977,"Current study","Surplus_MtPperYr",8.8518114908,"FAO (2022) Cropland Nutrient Budget (current study)"
1977,"Current study","PUE_pc",50.0606,"FAO (2022) Cropland Nutrient Budget (current study)"
1986,"Current study","Input_MtPperYr",21.07290768,"FAO (2022) Cropland Nutrient Budget (current study)"
1986,"Current study","Output_MtPperYr",10.9372421562,"FAO (2022) Cropland Nutrient Budget (current study)"
1986,"Current study","Surplus_MtPperYr",10.1356655238,"FAO (2022) Cropland Nutrient Budget (current study)"
1986,"Current study","PUE_pc",51.9019,"FAO (2022) Cropland Nutrient Budget (current study)"
1995,"Current study","Input_MtPperYr",18.9396727437,"FAO (2022) Cropland Nutrient Budget (current study)"
1995,"Current study","Output_MtPperYr",11.8756470029,"FAO (2022) Cropland Nutrient Budget (current study)"
1995,"Current study","Surplus_MtPperYr",7.0640257408,"FAO (2022) Cropland Nutrient Budget (current study)"
1995,"Current study","PUE_pc",62.7025,"FAO (2022) Cropland Nutrient Budget (current study)"
2004,"Current study","Input_MtPperYr",21.7522751834,"FAO (2022) Cropland Nutrient Budget (current study)"
2004,"Current study","Output_MtPperYr",14.9412957243,"FAO (2022) Cropland Nutrient Budget (current study)"
2004,"Current study","Surplus_MtPperYr",6.8109794591,"FAO (2022) Cropland Nutrient Budget (current study)"
2004,"Current study","PUE_pc",68.6884,"FAO (2022) Cropland Nutrient Budget (current study)"
2013,"Current study","Input_MtPperYr",25.1732322802,"FAO (2022) Cropland Nutrient Budget (current study)"
2013,"Current study","Output_MtPperYr",18.5494433209,"FAO (2022) Cropland Nutrient Budget (current study)"
2013,"Current study","Surplus_MtPperYr",6.6237889593,"FAO (2022) Cropland Nutrient Budget (current study)"
2013,"Current study","PUE_pc",73.6872,"FAO (2022) Cropland Nutrient Budget (current study)"
1996,"Current study","Input_MtPperYr",19.0463942151,"FAO (2022) Cropland Nutrient Budget (current study)"
1996,"Current study","Output_MtPperYr",12.5867063143,"FAO (2022) Cropland Nutrient Budget (current study)"
1996,"Current study","Surplus_MtPperYr",6.4596879008,"FAO (2022) Cropland Nutrient Budget (current study)"
1996,"Current study","PUE_pc",66.0845,"FAO (2022) Cropland Nutrient Budget (current study)"
2005,"Current study","Input_MtPperYr",21.6922020089,"FAO (2022) Cropland Nutrient Budget (current study)"
2005,"Current study","Output_MtPperYr",15.0040462233,"FAO (2022) Cropland Nutrient Budget (current study)"
2005,"Current study","Surplus_MtPperYr",6.6881557856,"FAO (2022) Cropland Nutrient Budget (current study)"
2005,"Current study","PUE_pc",69.1679,"FAO (2022) Cropland Nutrient Budget (current study)"
2014,"Current study","Input_MtPperYr",25.42873874,"FAO (2022) Cropland Nutrient Budget (current study)"
2014,"Current study","Output_MtPperYr",19.0360907157,"FAO (2022) Cropland Nutrient Budget (current study)"
2014,"Current study","Surplus_MtPperYr",6.3926480243,"FAO (2022) Cropland Nutrient Budget (current study)"
2014,"Current study","PUE_pc",74.8605,"FAO (2022) Cropland Nutrient Budget (current study)"
1997,"Current study","Input_MtPperYr",19.8071649317,"FAO (2022) Cropland Nutrient Budget (current study)"
1997,"Current study","Output_MtPperYr",12.8964214929,"FAO (2022) Cropland Nutrient Budget (current study)"
1997,"Current study","Surplus_MtPperYr",6.9107434388,"FAO (2022) Cropland Nutrient Budget (current study)"
1997,"Current study","PUE_pc",65.1099,"FAO (2022) Cropland Nutrient Budget (current study)"
2006,"Current study","Input_MtPperYr",22.3294404638,"FAO (2022) Cropland Nutrient Budget (current study)"
2006,"Current study","Output_MtPperYr",15.1587125303,"FAO (2022) Cropland Nutrient Budget (current study)"
2006,"Current study","Surplus_MtPperYr",7.1707279335,"FAO (2022) Cropland Nutrient Budget (current study)"
2006,"Current study","PUE_pc",67.8867,"FAO (2022) Cropland Nutrient Budget (current study)"
2015,"Current study","Input_MtPperYr",25.4132057422,"FAO (2022) Cropland Nutrient Budget (current study)"
2015,"Current study","Output_MtPperYr",19.1808444951,"FAO (2022) Cropland Nutrient Budget (current study)"
2015,"Current study","Surplus_MtPperYr",6.2323612471,"FAO (2022) Cropland Nutrient Budget (current study)"
2015,"Current study","PUE_pc",75.4759,"FAO (2022) Cropland Nutrient Budget (current study)"
1998,"Current study","Input_MtPperYr",19.7547093686,"FAO (2022) Cropland Nutrient Budget (current study)"
1998,"Current study","Output_MtPperYr",13.0127269433,"FAO (2022) Cropland Nutrient Budget (current study)"
1998,"Current study","Surplus_MtPperYr",6.7419824254,"FAO (2022) Cropland Nutrient Budget (current study)"
1998,"Current study","PUE_pc",65.8715,"FAO (2022) Cropland Nutrient Budget (current study)"
2007,"Current study","Input_MtPperYr",22.2974314658,"FAO (2022) Cropland Nutrient Budget (current study)"
2007,"Current study","Output_MtPperYr",15.5700934415,"FAO (2022) Cropland Nutrient Budget (current study)"
2007,"Current study","Surplus_MtPperYr",6.7273380243,"FAO (2022) Cropland Nutrient Budget (current study)"
2007,"Current study","PUE_pc",69.8291,"FAO (2022) Cropland Nutrient Budget (current study)"
